zip_code,zcta,zcta_2010_pop,zcta_2010_pop_cook,percent_pop,partial_pop,primary_city,percent_addresses,district,nssp_region,notes
60004,60004,50582,50582,100,FALSE,Arlington Heights,100,North,IL_Cook,NA
60005,60005,29308,29308,100,FALSE,Arlington Heights,100,North,IL_Cook,NA
60007,60007,33820,33820,100,FALSE,Elk Grove Village,96.73,North,IL_Cook,borders cross into O'Hare and DuPage but all residents in Cook per census
60008,60008,22717,22717,100,FALSE,Rolling Meadows,100,North,IL_Cook,NA
60010,60010,44095,19530,44.29,TRUE,Barrington,36.76,North,IL_Cook,NA
60015,60015,26800,172,0.64,TRUE,Deerfield,6.62,North,IL_Lake,NA
60016,60016,59690,59690,100,FALSE,Des Plaines,100,North,IL_Cook,NA
60018,60018,30099,30099,100,FALSE,Des Plaines,100,North,IL_Cook,NA
60022,60022,8153,8153,100,FALSE,Glencoe,100,North,IL_Cook,NA
60025,60025,39105,39105,100,FALSE,Glenview,100,North,IL_Cook,NA
60026,60026,13335,13335,100,FALSE,Glenview,100,North,IL_Cook,NA
60029,60029,482,482,100,FALSE,Golf,100,North,IL_Cook,PO Boxes
60043,60043,2513,2513,100,FALSE,Kenilworth,100,North,IL_Cook,NA
60053,60053,23260,23260,100,FALSE,Morton Grove,100,North,IL_Cook,NA
60056,60056,55219,55219,100,FALSE,Mount Prospect,100,North,IL_Cook,NA
60062,60062,39936,39936,100,FALSE,Northbrook,100,North,IL_Cook,NA
60067,60067,38585,38585,100,FALSE,Palatine,100,North,IL_Cook,NA
60068,60068,37475,37475,100,FALSE,Park Ridge,100,North,IL_Cook,NA
60070,60070,16001,16001,100,FALSE,Prospect Heights,100,North,IL_Cook,NA
60074,60074,38985,38803,99.53,TRUE,Palatine,98.82,North,IL_Cook,NA
60076,60076,33415,33415,100,FALSE,Skokie,100,OOJ,IL_Cook,NA
60077,60077,26825,26825,100,FALSE,Skokie,100,OOJ,IL_Cook,NA
60089,60089,41533,13643,32.85,TRUE,Buffalo Grove,39.35,North,IL_Lake,NA
60090,60090,37633,37633,100,FALSE,Wheeling,99.82,North,IL_Cook,NA
60091,60091,27020,27020,100,FALSE,Wilmette,100,North,IL_Cook,NA
60093,60093,19570,19570,100,FALSE,Winnetka,100,North,IL_Cook,NA
60103,60103,41928,16884,40.27,TRUE,Bartlett,49.93,North,IL_DuPage,NA
60104,60104,19038,19038,100,FALSE,Bellwood,100,West,IL_Cook,NA
60107,60107,39927,39927,100,FALSE,Streamwood,100,North,IL_Cook,NA
60120,60120,50955,24997,49.06,TRUE,Elgin,34.99,North,IL_Cook,NA
60126,60126,46371,333,0.72,TRUE,Elmhurst,0.22,West,IL_DuPage,NA
60130,60130,14167,14167,100,FALSE,Forest Park,100,West,IL_Cook,NA
60131,60131,18097,18097,100,FALSE,Franklin Park,100,West,IL_Cook,NA
60133,60133,38103,20636,54.16,TRUE,Hanover Park,60.22,North,IL_DuPage,NA
60141,60141,224,224,100,FALSE,Hines,100,West,IL_Cook,PO Boxes
60153,60153,24106,24106,100,FALSE,Maywood,100,West,IL_Cook,NA
60154,60154,16773,16773,100,FALSE,Westchester,100,West,IL_Cook,NA
60155,60155,7927,7927,100,FALSE,Broadview,100,West,IL_Cook,NA
60160,60160,25432,25432,100,FALSE,Melrose Park,100,West,IL_Cook,NA
60162,60162,8111,8111,100,FALSE,Hillside,100,West,IL_Cook,NA
60163,60163,5209,5209,100,FALSE,Berkeley,100,West,IL_Cook,NA
60164,60164,22048,22048,100,FALSE,Melrose Park,100,West,IL_Cook,NA
60165,60165,4946,4946,100,FALSE,Stone Park,100,West,IL_Cook,NA
60169,60169,33847,33847,100,FALSE,Hoffman Estates,100,North,IL_Cook,NA
60171,60171,10246,10246,100,FALSE,River Grove,100,West,IL_Cook,NA
60172,60172,24537,4006,16.33,TRUE,Roselle,16.52,North,IL_DuPage,NA
60173,60173,12217,12217,100,FALSE,Schaumburg,100,North,IL_Cook,NA
60176,60176,11795,11795,100,FALSE,Schiller Park,100,West,IL_Cook,NA
60192,60192,16343,16343,100,FALSE,Hoffman Estates,99.59,North,IL_Cook,NA
60193,60193,39188,39188,100,FALSE,Schaumburg,100,North,IL_Cook,NA
60194,60194,19777,19777,100,FALSE,Schaumburg,100,North,IL_Cook,NA
60195,60195,4769,4769,100,FALSE,Schaumburg,100,North,IL_Cook,NA
60201,60201,43125,43125,100,FALSE,Evanston,100,OOJ,IL_Cook,NA
60202,60202,31361,31361,100,FALSE,Evanston,100,OOJ,IL_Cook,NA
60203,60203,4523,4523,100,FALSE,Evanston,100,OOJ,IL_Cook,NA
60301,60301,2539,2539,100,FALSE,Oak Park,100,OOJ,IL_Cook,NA
60302,60302,32108,32108,100,FALSE,Oak Park,100,OOJ,IL_Cook,NA
